time_s,z_m,max_abs_delta_T_K,max_abs_delta_C_kg_kg,radial_weighted_mean_delta_T_K,radial_weighted_mean_delta_C_kg_kg
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0005231494912409765,0.0,0.0,0.0,0.0
0.0,0.0015694484714494639,0.0,0.0,0.0,0.0
0.0,0.0026157474465723883,0.0,0.0,0.0,0.0
0.0,0.0036620464155861904,0.0,0.0,0.0,0.0
0.0,0.004708345377475357,0.0,0.0,0.0,0.0
0.0,0.005754644331009957,0.0,0.0,0.0,0.0
0.0,0.00680094327457751,0.0,0.0,0.0,0.0
0.0,0.007847242206097388,0.0,0.0,0.0,0.0
0.0,0.008893541122936801,0.0,0.0,0.0,0.0
0.0,0.009939840021803058,0.0,0.0,0.0,0.0
0.0,0.010986138898604688,0.0,0.0,0.0,0.0
0.0,0.012032437748284802,0.0,0.0,0.0,0.0
0.0,0.013078736564625394,0.0,0.0,0.0,0.0
0.0,0.014125035340008817,0.0,0.0,0.0,0.0
0.0,0.015171334065114943,0.0,0.0,0.0,0.0
0.0,0.01621763272858375,0.0,0.0,0.0,0.0
0.0,0.017263931316600097,0.0,0.0,0.0,0.0
0.0,0.018310229812372354,0.0,0.0,0.0,0.0
0.0,0.019356528195540252,0.0,0.0,0.0,0.0
0.0,0.020402826441478825,0.0,0.0,0.0,0.0
0.0,0.021449124520446446,0.0,0.0,0.0,0.0
0.0,0.02249542239654262,0.0,0.0,0.0,0.0
0.0,0.023541720026574783,0.0,0.0,0.0,0.0
0.0,0.024588017358664248,0.0,0.0,0.0,0.0
0.0,0.025634314330521622,0.0,0.0,0.0,0.0
0.0,0.026680610867531526,0.0,0.0,0.0,0.0
0.0,0.027726906880536258,0.0,0.0,0.0,0.0
0.0,0.028773202263123444,0.0,0.0,0.0,0.0
0.0,0.029819496888343826,0.0,0.0,0.0,0.0
0.0,0.030865790605256217,0.0,0.0,0.0,0.0
0.0,0.03191208323471192,0.0,0.0,0.0,0.0
0.0,0.03295837456413289,0.0,0.0,0.0,0.0
0.0,0.03400466434171516,0.0,0.0,0.0,0.0
0.0,0.03505095226985211,0.0,0.0,0.0,0.0
0.0,0.03609723799744126,0.0,0.0,0.0,0.0
0.0,0.03714352111050014,0.0,0.0,0.0,0.0
0.0,0.03818980112251305,0.0,0.0,0.0,0.0
0.0,0.03923607746275605,0.0,0.0,0.0,0.0
0.0,0.04028234946173375,0.0,0.0,0.0,0.0
0.0,0.04132861633570477,0.0,0.0,0.0,0.0
0.0,0.04237487716971418,0.0,0.0,0.0,0.0
0.0,0.04342113089694337,0.0,0.0,0.0,0.0
0.0,0.0444673762737487,0.0,0.0,0.0,0.0
0.0,0.045513611855182684,0.0,0.0,0.0,0.0
0.0,0.046559835965433324,0.0,0.0,0.0,0.0
0.0,0.04760604666142646,0.0,0.0,0.0,0.0
0.0,0.048652241694590856,0.0,0.0,0.0,0.0
0.0,0.049698418470146756,0.0,0.0,0.0,0.0
0.0,0.050744573997060706,0.0,0.0,0.0,0.0
0.0,0.051790704828407724,0.0,0.0,0.0,0.0
0.0,0.052836807004765764,0.0,0.0,0.0,0.0
0.0,0.05388287598694727,0.0,0.0,0.0,0.0
0.0,0.05492890657290356,0.0,0.0,0.0,0.0
0.0,0.055974892808294846,0.0,0.0,0.0,0.0
0.0,0.05702082789713402,0.0,0.0,0.0,0.0
0.0,0.0580667040925781,0.0,0.0,0.0,0.0
0.0,0.05911251256974148,0.0,0.0,0.0,0.0
0.0,0.06015824330378468,0.0,0.0,0.0,0.0
0.0,0.06120388493425225,0.0,0.0,0.0,0.0
0.0,0.062249424597174495,0.0,0.0,0.0,0.0
0.0,0.06329484773129956,0.0,0.0,0.0,0.0
0.0,0.06434013790451507,0.0,0.0,0.0,0.0
0.0,0.06538527661709606,0.0,0.0,0.0,0.0
0.0,0.06643024305309167,0.0,0.0,0.0,0.0
0.0,0.06747501381324514,0.0,0.0,0.0,0.0
0.0,0.06851956266272122,0.0,0.0,0.0,0.0
0.0,0.06956386026088461,0.0,0.0,0.0,0.0
0.0,0.07060787382080315,0.0,0.0,0.0,0.0
0.0,0.0716515667581494,0.0,0.0,0.0,0.0
0.0,0.07269489830361563,0.0,0.0,0.0,0.0
0.0,0.07373782316290495,0.0,0.0,0.0,0.0
0.0,0.07478029111431495,0.0,0.0,0.0,0.0
0.0,0.07582224651288785,0.0,0.0,0.0,0.0
0.0,0.07686362783398165,0.0,0.0,0.0,0.0
0.0,0.07790436719314517,0.0,0.0,0.0,0.0
0.0,0.07894438984094701,0.0,0.0,0.0,0.0
0.0,0.07998361362457158,0.0,0.0,0.0,0.0
0.0,0.08102194840032294,0.0,0.0,0.0,0.0
0.0,0.08205929548549097,0.0,0.0,0.0,0.0
0.0,0.08309554716203224,0.0,0.0,0.0,0.0
0.0,0.08413058610602109,0.0,0.0,0.0,0.0
0.0,0.08516428481011179,0.0,0.0,0.0,0.0
0.0,0.08619650506439627,0.0,0.0,0.0,0.0
0.0,0.08722709745954318,0.0,0.0,0.0,0.0
0.0,0.08825590074562395,0.0,0.0,0.0,0.0
0.0,0.08928274153945595,0.0,0.0,0.0,0.0
0.0,0.09030743429035756,0.0,0.0,0.0,0.0
0.0,0.09132978029650739,0.0,0.0,0.0,0.0
0.0,0.0923495681702389,0.0,0.0,0.0,0.0
0.0,0.09336657378513252,0.0,0.0,0.0,0.0
0.0,0.0943805595662751,0.0,0.0,0.0,0.0
0.0,0.0953912756933589,0.0,0.0,0.0,0.0
0.0,0.09639846026831739,0.0,0.0,0.0,0.0
0.0,0.09740183955800345,0.0,0.0,0.0,0.0
0.0,0.09840112856690197,0.0,0.0,0.0,0.0
0.0,0.09939603264570279,0.0,0.0,0.0,0.0
0.0,0.10038624851439969,0.0,0.0,0.0,0.0
0.0,0.10137146514031278,0.0,0.0,0.0,0.0
0.0,0.10235136516852997,0.0,0.0,0.0,0.0
0.0,0.10332562634832987,0.0,0.0,0.0,0.0
0.0,0.10429392395625564,0.0,0.0,0.0,0.0
0.0,0.10525593175448669,0.0,0.0,0.0,0.0
0.0,0.10621132333208266,0.0,0.0,0.0,0.0
0.0,0.1071597731638037,0.0,0.0,0.0,0.0
0.0,0.10810095779176977,0.0,0.0,0.0,0.0
0.0,0.10903455688746658,0.0,0.0,0.0,0.0
0.0,0.1099602474607406,0.0,0.0,0.0,0.0
0.0,0.11087769214552082,0.0,0.0,0.0,0.0
0.0,0.11178649938229036,0.0,0.0,0.0,0.0
0.0,0.11268612433286049,0.0,0.0,0.0,0.0
0.0,0.11357566155031681,0.0,0.0,0.0,0.0
0.0,0.11445345181243931,0.0,0.0,0.0,0.0
0.0,0.11531648055089319,0.0,0.0,0.0,0.0
0.0,0.11615971333464245,0.0,0.0,0.0,0.0
0.0,0.11697592061638235,0.0,0.0,0.0,0.0
0.0,0.11776318273753608,0.0,0.0,0.0,0.0
0.0,0.1185312860297518,0.0,0.0,0.0,0.0
0.0,0.11929291462851194,0.0,0.0,0.0,0.0
0.0,0.12005385934471033,0.0,0.0,0.0,0.0
0.0,0.12081480406090875,0.0,0.0,0.0,0.0
0.0,0.12157574877710715,0.0,0.0,0.0,0.0
0.0,0.12233669349330556,0.0,0.0,0.0,0.0
0.0,0.12309763820950397,0.0,0.0,0.0,0.0
0.0,0.12385858292570237,0.0,0.0,0.0,0.0
0.0,0.12461952764190079,0.0,0.0,0.0,0.0
0.0,0.125,0.0,0.0,0.0,0.0
60.0,0.0,0.00017537595005023832,0.006163224299369219,1.1793710331367293e-05,-0.00014158155016892154
60.0,0.0005231494912409765,0.00017537595005023832,0.006163224299369219,1.1793710359915168e-05,-0.00014158155016881393
60.0,0.0015694484714494639,0.00017537595005023832,0.006163224299369219,1.1793710359915168e-05,-0.00014158155016881393
60.0,0.0026157474465723883,0.00017537595005023832,0.006163224299369219,1.1793710359915168e-05,-0.00014158155016881393
60.0,0.0036620464155861904,0.00017537595005023832,0.006163224299369219,1.1793710359915168e-05,-0.00014158155016881393
60.0,0.004708345377475357,0.00017537595005023832,0.006163224299369219,1.1793710359915168e-05,-0.00014158155016881393
